Tanggal,DXY_Index,Harga_Emas,Kurs_USDIDR,IHSG_Index,BI_Rate
2024-11-22,107.48999786376953,2709.89990234375,15816.900390625,7195.56494140625,5.75
2024-11-25,106.81999969482422,2616.800048828125,15940.0,7314.10791015625,5.75
2024-11-26,107.01000213623047,2620.300048828125,15901.2001953125,7245.88818359375,5.75
2024-11-29,105.73999786376953,2657.0,15878.0,7114.26611328125,5.75
2024-12-02,106.44999694824219,2634.89990234375,15829.0,7046.98583984375,5.75
2024-12-03,106.37000274658203,2644.699951171875,15910.0,7196.01708984375,5.75
2024-12-04,106.33999633789062,2653.800048828125,15940.0,7326.76416015625,5.75
2024-12-05,105.70999908447266,2626.60009765625,15906.599609375,7313.31298828125,5.75
2024-12-06,105.97000122070312,2638.60009765625,15839.7998046875,7382.78515625,5.75
2024-12-09,106.1500015258789,2664.89990234375,15825.7998046875,7437.73095703125,5.75
2024-12-10,106.4000015258789,2697.60009765625,15864.0,7453.287109375,5.75
2024-12-11,106.70999908447266,2733.800048828125,15908.0,7464.751953125,5.75
2024-12-12,106.95999908447266,2687.5,15963.0,7394.23779296875,5.75
2024-12-13,107.0,2656.0,15967.400390625,7324.7890625,5.75
2024-12-16,106.86000061035156,2651.39990234375,16025.7998046875,7258.630859375,5.75
2024-12-17,106.95999908447266,2644.39990234375,15955.0,7157.73193359375,5.75
2024-12-18,108.02999877929688,2636.5,15926.2001953125,7107.875,5.75
2024-12-19,108.41000366210938,2592.199951171875,16145.2998046875,6977.23779296875,5.75
2024-12-20,107.62000274658203,2628.699951171875,15981.2998046875,6983.865234375,5.75
2024-12-23,108.04000091552734,2612.300048828125,16159.2998046875,7096.44482421875,5.75
2024-12-24,108.26000213623047,2620.0,16217.599609375,7065.74609375,5.75
2024-12-27,108.0,2617.199951171875,16189.0,7036.57080078125,5.75
2024-12-30,108.12999725341797,2606.10009765625,16178.0,7079.90478515625,5.75
2025-01-02,109.38999938964844,2658.89990234375,16230.5,7163.205078125,5.75
2025-01-03,108.94999694824219,2645.0,16201.099609375,7164.42919921875,5.75
2025-01-06,108.26000213623047,2638.39990234375,16178.7998046875,7080.47412109375,5.75
2025-01-07,108.54000091552734,2656.699951171875,16179.099609375,7083.2841796875,5.75
2025-01-08,109.08999633789062,2664.5,16157.7001953125,7080.35205078125,5.75
2025-01-09,109.18000030517578,2683.800048828125,16187.599609375,7064.587890625,5.75
2025-01-10,109.6500015258789,2708.5,16237.0,7088.8662109375,5.75
2025-01-13,109.95999908447266,2673.5,16268.0,7016.87890625,5.75
2025-01-14,109.2699966430664,2677.5,16295.2001953125,6956.6650390625,5.75
2025-01-15,109.08999633789062,2712.5,16320.0,7079.56201171875,5.75
2025-01-16,108.95999908447266,2746.39990234375,16360.7998046875,7107.51904296875,5.75
2025-01-17,109.3499984741211,2744.300048828125,16368.7998046875,7154.658203125,5.75
2025-01-21,108.05999755859375,2755.0,16245.0,7181.81982421875,5.75
2025-01-22,108.16999816894531,2767.60009765625,16330.7998046875,7257.1279296875,5.75
2025-01-23,108.05000305175781,2763.10009765625,16232.7998046875,7232.64306640625,5.75
2025-01-24,107.44000244140625,2777.300048828125,16230.900390625,7166.05615234375,5.75
2025-01-30,107.80000305175781,2823.0,16238.0,7073.47802734375,5.75
2025-01-31,108.37000274658203,2812.5,16274.5,7109.19580078125,5.75
2025-02-03,108.98999786376953,2833.89990234375,16341.2998046875,7030.05810546875,5.75
2025-02-04,107.95999908447266,2853.300048828125,16320.0,7073.458984375,5.75
2025-02-05,107.58000183105469,2871.60009765625,16299.099609375,7024.22802734375,5.75
2025-02-06,107.69000244140625,2856.0,16298.099609375,6875.5361328125,5.75
2025-02-07,108.04000091552734,2867.300048828125,16327.0,6742.576171875,5.75
2025-02-10,108.31999969482422,2914.300048828125,16314.7001953125,6648.14208984375,5.75
2025-02-11,107.95999908447266,2912.5,16330.099609375,6531.990234375,5.75
2025-02-12,107.94000244140625,2909.0,16343.2998046875,6645.77783203125,5.75
2025-02-13,107.30999755859375,2925.89990234375,16375.0,6613.56787109375,5.75
2025-02-14,106.56999969482422,2883.60009765625,16219.0,6638.458984375,5.75
2025-02-18,107.05000305175781,2931.60009765625,16220.0,6873.55419921875,5.75
2025-02-19,107.16999816894531,2919.39990234375,16317.0,6794.8681640625,5.75
2025-02-20,106.33999633789062,2940.0,16346.400390625,6788.0419921875,5.75
2025-02-21,106.61000061035156,2937.60009765625,16245.099609375,6803.0009765625,5.75
2025-02-24,106.5999984741211,2947.89990234375,16278.0,6749.60107421875,5.75
2025-02-25,106.30999755859375,2904.5,16279.2998046875,6587.0869140625,5.75
2025-02-26,106.41999816894531,2916.800048828125,16314.0,6606.17822265625,5.75
2025-02-27,107.23999786376953,2883.199951171875,16367.400390625,6485.4482421875,5.75
2025-02-28,107.61000061035156,2836.800048828125,16553.69921875,6270.59716796875,5.75
2025-03-03,106.75,2890.199951171875,16522.0,6519.658203125,5.75
2025-03-04,105.73999786376953,2909.60009765625,16451.19921875,6380.40087890625,5.75
2025-03-05,105.73999786376953,2915.300048828125,16379.0,6531.39892578125,5.75
2025-03-06,104.05999755859375,2916.60009765625,16268.900390625,6617.84716796875,5.75
2025-03-07,103.83999633789062,2904.699951171875,16322.099609375,6636.0,5.75
2025-03-10,103.91000366210938,2891.0,16292.599609375,6598.2119140625,5.75
2025-03-11,103.44000244140625,2912.89990234375,16324.0,6545.85009765625,5.75
2025-03-12,103.61000061035156,2939.10009765625,16433.900390625,6665.044921875,5.75
2025-03-13,103.83000183105469,2984.300048828125,16305.599609375,6647.4169921875,5.75
2025-03-14,103.72000122070312,2994.5,16259.2998046875,6515.630859375,5.75
2025-03-17,103.37000274658203,3000.0,16321.0,6471.94677734375,5.75
2025-03-18,103.23999786376953,3035.10009765625,16370.0,6223.38818359375,5.75
2025-03-19,103.43000030517578,3035.89990234375,16514.5,6311.66015625,5.75
2025-03-20,103.8499984741211,3040.0,16330.2998046875,6381.673828125,5.75
2025-03-21,104.08999633789062,3018.199951171875,16428.5,6258.17919921875,5.75
2025-03-24,104.26000213623047,3013.10009765625,16519.0,6161.2177734375,5.75
2025-03-25,104.18000030517578,3023.699951171875,16575.80078125,6235.619140625,5.75
2025-03-26,104.55000305175781,3020.89990234375,16621.0,6472.35595703125,5.75
2025-03-27,104.06999969482422,3060.199951171875,16629.0,6510.6201171875,5.75
2025-04-08,102.95999908447266,2968.39990234375,16855.69921875,5996.14208984375,5.75
2025-04-09,102.9000015258789,3056.5,17051.900390625,5967.98779296875,5.75
2025-04-10,100.87000274658203,3155.199951171875,16805.5,6254.02392578125,5.75
2025-04-11,99.77999877929688,3222.199951171875,16833.80078125,6262.22607421875,5.75
2025-04-14,99.63999938964844,3204.800048828125,16788.0,6368.51708984375,5.75
2025-04-15,100.22000122070312,3218.699951171875,16780.0,6441.68310546875,5.75
2025-04-16,99.37999725341797,3326.60009765625,16813.5,6400.05419921875,5.75
2025-04-17,99.37999725341797,3308.699951171875,16794.599609375,6438.26904296875,5.75
2025-04-22,98.91999816894531,3400.800048828125,16814.900390625,6538.26611328125,5.75
2025-04-23,99.83999633789062,3276.300048828125,16858.099609375,6634.376953125,5.75
2025-04-24,99.29000091552734,3332.0,16846.0,6613.47802734375,5.75
2025-04-25,99.47000122070312,3282.39990234375,16778.5,6678.9150390625,5.75
2025-04-28,99.01000213623047,3332.5,16823.0,6722.9658203125,5.75
2025-04-29,99.23999786376953,3318.800048828125,16795.0,6749.0751953125,5.75
2025-04-30,99.47000122070312,3305.0,16711.900390625,6766.794921875,5.75
2025-05-02,100.0,3231.89990234375,16606.0,6815.72998046875,5.75
2025-05-05,99.83000183105469,3311.300048828125,16460.0,6831.9521484375,5.75
2025-05-06,99.23999786376953,3411.39990234375,16421.5,6898.19677734375,5.75
2025-05-07,99.61000061035156,3381.39990234375,16432.0,6926.22509765625,5.75
2025-05-08,100.63999938964844,3296.60009765625,16492.599609375,6827.75,5.75
2025-05-09,100.33999633789062,3335.39990234375,16538.30078125,6832.80322265625,5.75
2025-05-14,101.04000091552734,3181.39990234375,16599.400390625,6979.8798828125,5.75
2025-05-15,100.87999725341797,3220.699951171875,16558.19921875,7040.1611328125,5.75
2025-05-16,101.08999633789062,3182.0,16511.80078125,7106.52587890625,5.75
2025-05-19,100.43000030517578,3228.89990234375,16487.0,7141.0908203125,5.75
2025-05-20,100.12000274658203,3280.300048828125,16428.0,7094.60205078125,5.75
2025-05-21,99.55999755859375,3309.300048828125,16403.0,7142.4609375,5.75
2025-05-22,99.95999908447266,3292.300048828125,16347.599609375,7166.98095703125,5.75
2025-05-23,99.11000061035156,3363.60009765625,16356.900390625,7214.1630859375,5.75
2025-05-27,99.5199966430664,3299.10009765625,16243.5,7198.966796875,5.75
2025-05-28,99.87999725341797,3293.60009765625,16279.0,7175.81884765625,5.75
2025-06-02,98.69999694824219,3370.60009765625,16322.0,7065.06884765625,5.75
2025-06-03,99.25,3350.199951171875,16288.5,7044.82177734375,5.75
2025-06-04,98.79000091552734,3373.5,16332.400390625,7069.037109375,5.75
2025-06-05,98.73999786376953,3350.699951171875,16291.5,7113.4248046875,5.75
2025-06-10,99.05000305175781,3320.89990234375,16278.7998046875,7230.7451171875,5.75
2025-06-11,98.62999725341797,3321.300048828125,16247.7998046875,7222.4560546875,5.75
